Case ID,Category,Difficulty Level,Scenario Description,Expected Agent,Expected Severity,Expected Findings,Actual Agents Completed,Actual Finding Count,Actual Severity Highest,Actual Risk Score,Human Review Required,Expected Finding Detected,False Positive Count,Agent Routing Correct,Severity Correct,Correctness Score 1-10,Completeness Score 1-10,Actionability Score 1-10,Explanation Quality Score 1-10,End-to-End Latency Seconds,Total Tokens,Estimated Cost USD,LangSmith Trace URL,PASS/FAIL,Failure Mode,Evaluator Notes
TL-HP-001,Happy Path,Easy,Login handler builds SQL using an f-string with user-provided username.,Security Review Agent,High,Flag dynamic SQL construction; recommend parameterized queries; note user input reaches database query.,Security Review Agent; Reliability Review Agent; Test Coverage Review Agent,3,High,High,No,Yes,0,Yes,Yes,9,9,8,8,0.008,0,0.0000,,PASS,,Automated deterministic evaluation. Final evaluation should use LLM-as-judge and LangSmith trace URLs.
TL-HP-002,Happy Path,Easy,Configuration file contains an API key assigned directly in Python source.,Security Review Agent,Critical,Flag possible hardcoded secret; recommend environment variables or secret manager; recommend credential rotation.,Security Review Agent; Reliability Review Agent; Test Coverage Review Agent,4,Critical,Critical,Yes,Yes,0,Yes,Yes,9,9,8,8,0.004,0,0.0000,,PASS,,Automated deterministic evaluation. Final evaluation should use LLM-as-judge and LangSmith trace URLs.
TL-HP-003,Happy Path,Easy,Admin utility uses eval() on a request parameter to calculate a value.,Security Review Agent,Critical,Flag eval usage as critical; recommend removing eval or using a constrained parser or allowlist.,Security Review Agent; Reliability Review Agent; Test Coverage Review Agent,5,Critical,Critical,Yes,Yes,0,Yes,Yes,9,9,8,8,0.004,0,0.0000,,PASS,,Automated deterministic evaluation. Final evaluation should use LLM-as-judge and LangSmith trace URLs.
TL-HP-004,Happy Path,Medium,File upload handler saves uploaded files with minimal validation.,Security Review Agent,Medium,"Flag missing file validation; recommend checking extension, MIME type, size, path, and storage location.",Security Review Agent; Reliability Review Agent; Test Coverage Review Agent,7,High,High,No,Yes,0,Yes,Yes,9,9,8,8,0.005,0,0.0000,,PASS,,Automated deterministic evaluation. Final evaluation should use LLM-as-judge and LangSmith trace URLs.
TL-HP-005,Happy Path,Medium,Authentication code checks passwords but has no hashing or session security controls.,Security Review Agent,Medium,"Flag missing security controls around authentication; recommend password hashing, session expiration, secure cookies, and authorization checks.",Security Review Agent; Reliability Review Agent; Test Coverage Review Agent,5,Medium,High,No,Yes,0,Yes,Yes,9,9,8,8,0.004,0,0.0000,,PASS,,Automated deterministic evaluation. Final evaluation should use LLM-as-judge and LangSmith trace URLs.
TL-HP-006,Happy Path,Easy,Application prints tokens and passwords during debugging.,Security Review Agent,High,Flag logging or printing sensitive data; recommend removing secret logging and redacting sensitive values.,Security Review Agent; Reliability Review Agent; Test Coverage Review Agent,4,High,High,No,Yes,0,Yes,Yes,9,9,8,8,0.004,0,0.0000,,PASS,,Automated deterministic evaluation. Final evaluation should use LLM-as-judge and LangSmith trace URLs.
TL-HP-007,Happy Path,Easy,Function calls requests.get() without a timeout.,Reliability Review Agent,High,Flag missing timeout; recommend explicit timeout and handling timeout exceptions.,Security Review Agent; Reliability Review Agent; Test Coverage Review Agent,7,High,High,No,Yes,0,Yes,Yes,9,9,8,8,0.004,0,0.0000,,PASS,,Automated deterministic evaluation. Final evaluation should use LLM-as-judge and LangSmith trace URLs.
TL-HP-008,Happy Path,Easy,Service calls an external API once with no retry or backoff behavior.,Reliability Review Agent,Medium,Flag lack of retry or backoff; recommend bounded retries with exponential backoff.,Security Review Agent; Reliability Review Agent; Test Coverage Review Agent,6,Medium,High,No,Yes,0,Yes,Yes,9,9,8,8,0.004,0,0.0000,,PASS,,Automated deterministic evaluation. Final evaluation should use LLM-as-judge and LangSmith trace URLs.
TL-HP-009,Happy Path,Easy,Data processing function catches all exceptions using bare except and silently passes.,Reliability Review Agent,High,"Flag broad exception handling; recommend specific exceptions, logging, and safe fallback behavior.",Security Review Agent; Reliability Review Agent; Test Coverage Review Agent,5,High,High,No,Yes,0,Yes,Yes,9,9,8,8,0.005,0,0.0000,,PASS,,Automated deterministic evaluation. Final evaluation should use LLM-as-judge and LangSmith trace URLs.
TL-HP-010,Happy Path,Easy,Function accepts payload input but does not validate empty or missing payload.,Reliability Review Agent,Medium,Flag missing input validation; recommend validating required inputs early and returning clear errors.,Security Review Agent; Reliability Review Agent; Test Coverage Review Agent,4,Medium,Medium,No,Yes,0,Yes,Yes,9,9,8,8,0.004,0,0.0000,,PASS,,Automated deterministic evaluation. Final evaluation should use LLM-as-judge and LangSmith trace URLs.
TL-HP-011,Happy Path,Medium,"File reader opens a path without checking existence, type, size, or path safety.",Reliability Review Agent,Medium,"Flag missing file handling validation; recommend existence, file type, size, and path-safety checks.",Security Review Agent; Reliability Review Agent; Test Coverage Review Agent,3,Medium,Medium,No,Yes,0,Yes,Yes,9,9,8,8,0.005,0,0.0000,,PASS,,Automated deterministic evaluation. Final evaluation should use LLM-as-judge and LangSmith trace URLs.
TL-HP-012,Happy Path,Medium,Database update function writes records without transaction or rollback handling.,Reliability Review Agent,Medium,"Flag missing database failure handling; recommend transactions, rollback, and exception handling.",Security Review Agent; Reliability Review Agent; Test Coverage Review Agent,3,Medium,Medium,No,Yes,0,Yes,Yes,9,9,8,8,0.005,0,0.0000,,PASS,,Automated deterministic evaluation. Final evaluation should use LLM-as-judge and LangSmith trace URLs.
TL-HP-013,Happy Path,Easy,HTTP response is parsed with response.json() outside a try block.,Reliability Review Agent,Medium,Flag unhandled JSON parsing; recommend handling malformed JSON and unexpected schemas.,Security Review Agent; Reliability Review Agent; Test Coverage Review Agent,6,Medium,High,No,Yes,0,Yes,Yes,9,9,8,8,0.004,0,0.0000,,PASS,,Automated deterministic evaluation. Final evaluation should use LLM-as-judge and LangSmith trace URLs.
TL-HP-014,Happy Path,Easy,Function reads nested dictionary keys without checking for missing keys or None values.,Reliability Review Agent,Low,Flag missing null handling; recommend predictable defaults or explicit errors.,Security Review Agent; Reliability Review Agent; Test Coverage Review Agent,4,Medium,Medium,No,Yes,0,Yes,Yes,9,9,8,8,0.004,0,0.0000,,PASS,,Automated deterministic evaluation. Final evaluation should use LLM-as-judge and LangSmith trace URLs.
