Case ID,Scenario Description,Code Vulnerability or Issue,Expected Findings,Difficulty Level,Category,Expected Agent,Expected Severity
TL-HP-001,"Login handler builds SQL using an f-string with user-provided username.","SQL injection through dynamic query construction.","Flag dynamic SQL construction; recommend parameterized queries; note user input reaches database query.","Easy","Happy Path","Security Review Agent","High"
TL-HP-002,"Configuration file contains an API key assigned directly in Python source.","Hardcoded secret or credential exposure.","Flag possible hardcoded secret; recommend environment variables or secret manager; recommend credential rotation.","Easy","Happy Path","Security Review Agent","Critical"
TL-HP-003,"Admin utility uses eval() on a request parameter to calculate a value.","Dynamic code execution from untrusted input.","Flag eval usage as critical; recommend removing eval or using a constrained parser or allowlist.","Easy","Happy Path","Security Review Agent","Critical"
TL-HP-004,"File upload handler saves uploaded files with minimal validation.","Unsafe file upload and file handling controls.","Flag missing file validation; recommend checking extension, MIME type, size, path, and storage location.","Medium","Happy Path","Security Review Agent","Medium"
TL-HP-005,"Authentication code checks passwords but has no hashing or session security controls.","Weak authentication controls.","Flag missing security controls around authentication; recommend password hashing, session expiration, secure cookies, and authorization checks.","Medium","Happy Path","Security Review Agent","Medium"
TL-HP-006,"Application prints tokens and passwords during debugging.","Sensitive data exposed through logs or console output.","Flag logging or printing sensitive data; recommend removing secret logging and redacting sensitive values.","Easy","Happy Path","Security Review Agent","High"
TL-HP-007,"Function calls requests.get() without a timeout.","External HTTP call missing timeout.","Flag missing timeout; recommend explicit timeout and handling timeout exceptions.","Easy","Happy Path","Reliability Review Agent","High"
TL-HP-008,"Service calls an external API once with no retry or backoff behavior.","Missing bounded retry for transient external dependency failures.","Flag lack of retry or backoff; recommend bounded retries with exponential backoff.","Easy","Happy Path","Reliability Review Agent","Medium"
TL-HP-009,"Data processing function catches all exceptions using bare except and silently passes.","Broad exception handling hides production failures.","Flag broad exception handling; recommend specific exceptions, logging, and safe fallback behavior.","Easy","Happy Path","Reliability Review Agent","High"
TL-HP-010,"Function accepts payload input but does not validate empty or missing payload.","Missing empty input validation.","Flag missing input validation; recommend validating required inputs early and returning clear errors.","Easy","Happy Path","Reliability Review Agent","Medium"
TL-HP-011,"File reader opens a path without checking existence, type, size, or path safety.","Missing file validation before file processing.","Flag missing file handling validation; recommend existence, file type, size, and path-safety checks.","Medium","Happy Path","Reliability Review Agent","Medium"
TL-HP-012,"Database update function writes records without transaction or rollback handling.","Database operation lacks transaction or failure handling.","Flag missing database failure handling; recommend transactions, rollback, and exception handling.","Medium","Happy Path","Reliability Review Agent","Medium"
TL-HP-013,"HTTP response is parsed with response.json() outside a try block.","JSON parsing lacks error handling.","Flag unhandled JSON parsing; recommend handling malformed JSON and unexpected schemas.","Easy","Happy Path","Reliability Review Agent","Medium"
