Improvement ID,Improvement Type,Recommendation,Expected Impact,Metric Affected,Risk,Effort Level,Priority
IMP-001,Prompt Improvement,"Expand Security Agent prompt to explicitly cover path traversal, unsafe deserialization, YAML loading, command injection, weak randomness, insecure temp files, and prompt-injection comments in code.","Improves detection of known failure and adversarial cases.","Critical Finding Recall; Completeness Score","Medium: broader prompt may increase false positives if not paired with evidence rules.","Low","P0"
IMP-002,Prompt Improvement,"Add evidence-only instruction: findings must cite code behavior and avoid findings based only on comments, variable names, or speculation.","Reduces noisy findings in edge cases.","Finding Precision; False Positive Rate","Low: may slightly reduce speculative early warnings.","Low","P1"
IMP-003,Prompt Improvement,"Require each recommendation to include a concrete remediation pattern, such as parameterized query, safe_load, shell=False args list, secrets.token_urlsafe, or tempfile APIs.","Makes outputs more developer-useful and review-ready.","Actionability Score; Explanation Quality","Low","Low","P1"
IMP-004,Control-Flow Improvement,"Add a post-agent verification node that checks expected structured fields, duplicate findings, severity consistency, and human-review rules before report generation.","Improves consistency and catches formatting or escalation issues before final output.","Agent Routing Accuracy; Human Review Accuracy; Finding Precision","Medium: extra node adds latency and complexity.","Medium","P1"
IMP-005,Control-Flow Improvement,"Run Security, Reliability, and Test Coverage agents in parallel when LangGraph configuration allows it, then aggregate findings.","Reduces end-to-end latency for evaluation and production use.","Latency p95","Medium: parallelism requires careful state merging and error handling.","Medium","P2"
IMP-006,Guardrail,"Add pre-review prompt-injection guardrail that treats source-code comments as untrusted content and prevents comments from changing reviewer instructions.","Improves resistance to adversarial test cases.","Critical Finding Recall; Finding Precision","Low","Low","P0"
IMP-007,Guardrail,"Add severity escalation guardrail: any Critical finding must set human_review_required=true and overall_risk_score=Critical.","Protects human-in-the-loop behavior for high-risk cases.","Human Review Accuracy","Low","Low","P0"
IMP-008,Structured Outputs,"Extend ReviewFinding with category, confidence, evidence, cwe_or_issue_type, and remediation_type fields.","Improves evaluation, filtering, failure clustering, and final report quality.","Agent Routing Accuracy; Explanation Quality; Failure Analysis Quality","Medium: requires UI/report updates and migration of tests.","Medium","P1"
IMP-009,Structured Outputs,"Require agents to return 'no finding' explicitly when safe patterns are present, such as parameterized SQL or bcrypt password verification.","Improves edge-case evaluation and reduces false positives.","Finding Precision; False Positive Rate","Medium: may add output verbosity if not hidden from final report.","Medium","P2"
IMP-010,Verification Loop,"Add deterministic regression checks for all known failure cases in the golden dataset.","Prevents repeated misses on path traversal, pickle, yaml.load, shell=True, weak randomness, and insecure temp files.","Critical Finding Recall; Regression Stability","Low","Medium","P0"
IMP-011,Verification Loop,"Add evaluator script that runs all 40 golden cases and writes results to evaluation_results_template.csv.","Makes baseline evaluation repeatable and faster to update.","Evaluation Reproducibility; Agent Completion Rate","Medium: requires creating executable code snippets for every dataset row.","High","P1"
IMP-012,Observability,"Add evaluation_case_id, category, difficulty, and expected_agent metadata to LangSmith runs during dataset execution.","Makes LangSmith traces easier to filter and use as final evidence.","Trace Completeness; Failure Analysis Quality","Low","Medium","P1"
IMP-013,Cost Control,"Use deterministic heuristics first and call the LLM only when heuristics are inconclusive or when explanation quality needs improvement.","Reduces average cost while preserving quality on easy cases.","Average Cost per Review; Latency p95","Medium: gating may miss issues if heuristic confidence is poor.","Medium","P2"
IMP-014,Report Quality,"Update final report to include grouped findings by agent, severity summary, top remediation priorities, and evidence snippets.","Improves GitHub-readiness and developer usefulness.","Actionability Score; Explanation Quality","Low","Medium","P2"
IMP-015,Testing,"Add tests for trace helper privacy behavior so full source code is not logged unless explicitly enabled.","Protects privacy and evaluation evidence quality.","Trace Safety; Production Readiness","Low","Low","P2"
